ID,Wiederbeschaffungszeit,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.10,0.11,0
23.0,0.0,,,,,,,,,,,,,
,,24.0,,,,,,,,,,,,
,,0.0,,,,,,,,,,,,
,,,24.0,,,,,,,,,,,
,,,0.0,,,,,,,,,,,
,,,25.0,,,,,,,,,,,
,,,0.0,,,,,,,,,,,
,,,,24.0,,,,,,,,,,
,,,,0.0,,,,,,,,,,
,,,,25.0,,,,,,,,,,
,,,,0.0,,,,,,,,,,
,,,,,25.0,,,,,,,,,
,,,,,0.0,,,,,,,,,
,,,,,,30.0,,,,,,,,
,,,,,,0.0,,,,,,,,
,,,,,,,30.0,,,,,,,
,,,,,,,0.0,,,,,,,
,,,,,,,31.0,,,,,,,
,,,,,,,0.0,,,,,,,
,,,,,,,,30.0,,,,,,
,,,,,,,,0.0,,,,,,
,,,,,,,,31.0,,,,,,
,,,,,,,,0.0,,,,,,
,,,,,,,,32.0,,,,,,
,,,,,,,,0.0,,,,,,
,,,,,,,,,30.0,,,,,
,,,,,,,,,0.0,,,,,
,,,,,,,,,31.0,,,,,
,,,,,,,,,0.0,,,,,
,,,,,,,,,32.0,,,,,
,,,,,,,,,0.0,,,,,
,,,,,,,,,33.0,,,,,
,,,,,,,,,0.0,,,,,
,,,,,,,,,,31.0,,,,
,,,,,,,,,,0.0,,,,
,,,,,,,,,,32.0,,,,
,,,,,,,,,,0.0,,,,
,,,,,,,,,,33.0,,,,
,,,,,,,,,,0.0,,,,
,,,,,,,,,,,32.0,,,
,,,,,,,,,,,0.0,,,
,,,,,,,,,,,33.0,,,
,,,,,,,,,,,0.0,,,
,,,,,,,,,,,,33.0,,
,,,,,,,,,,,,0.0,,
,,,,,,,,,,,,,88.0,
,,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,88.0
,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,89.0
,,,,,,,,,,,,,,0.0
